Geographic Area,StateCode,CountyCode,Estate Code,Category,Population
Estate Catherines Rest,78,10,14870,"Hispanic, Other",16
Estate Clairmont,78,10,22325,"Hispanic, Other",0
Estate Clifton Hill,78,10,22400,"Hispanic, Other",16
Estate Coakley Bay,78,10,23200,"Hispanic, Other",1
Estate Colquohoun,78,10,23500,"Hispanic, Other",8
Estate Concordia East,78,10,24460,"Hispanic, Other",1
Estate Concordia West,78,10,24500,"Hispanic, Other",7
Estate Constitution Hill,78,10,24600,"Hispanic, Other",3
Estate Contentment,78,10,26450,"Hispanic, Other",1
Estate Corn Hill,78,10,27250,"Hispanic, Other",0
Estate Cottage,78,10,27300,"Hispanic, Other",13
Estate Cotton Garden,78,10,27400,"Hispanic, Other",0
Estate Cotton Grove,78,10,27525,"Hispanic, Other",0
Estate Cotton Valley,78,10,27600,"Hispanic, Other",4
Estate Diamond East,78,10,29850,"Hispanic, Other",26
Estate Diamond Keturah,78,10,30100,"Hispanic, Other",0
Estate Diamond West,78,10,30300,"Hispanic, Other",10
Estate East Street,78,10,34750,"Hispanic, Other",19
Estate Elizas Retreat,78,10,34850,"Hispanic, Other",0
Estate Enfield Green,78,10,35150,"Hispanic, Other",12
Estate Envy,78,10,35450,"Hispanic, Other",0
Estate Fangselet,78,10,35550,"Hispanic, Other",6
Estate Fareham,78,10,35650,"Hispanic, Other",0
Estate Fountain,78,10,36050,"Hispanic, Other",5
Estate Frederikshaab,78,10,37700,"Hispanic, Other",0
Estate Friedensthal,78,10,41600,"Hispanic, Other",0
Estate Glynn,78,10,43500,"Hispanic, Other",12
Estate Golden Grove,78,10,44250,"Hispanic, Other",7
Estate Golden Rock,78,10,44300,"Hispanic, Other",37
Estate Granard,78,10,45050,"Hispanic, Other",0
Estate Grange,78,10,45150,"Hispanic, Other",6
Estate Grange Stock,78,10,45200,"Hispanic, Other",0
Estate Great Pond,78,10,45525,"Hispanic, Other",0
Estate Green Cay,78,10,45575,"Hispanic, Other",4
Estate Grove Place,78,10,46100,"Hispanic, Other",6
Estate Gumbs Land,78,10,46150,"Hispanic, Other",1
Estate Hams Bay,78,10,46320,"Hispanic, Other",0
Estate Hams Bluff,78,10,46330,"Hispanic, Other",0
Estate Hannahs Rest,78,10,46350,"Hispanic, Other",5
Estate Hard Labor,78,10,46380,"Hispanic, Other",0
Estate Hartman,78,10,47000,"Hispanic, Other",0
Estate Hermitage,78,10,47600,"Hispanic, Other",2
Estate Hermon Hill,78,10,47750,"Hispanic, Other",5
Estate Hogensborg,78,10,48030,"Hispanic, Other",0
Estate Hope and Carton Hill,78,10,48130,"Hispanic, Other",0
Estate Hope East,78,10,48140,"Hispanic, Other",3
Estate Hope West,78,10,48150,"Hispanic, Other",0
Estate Jacks Bay,78,10,48600,"Hispanic, Other",0
Estate Jerusalem and Figtree Hill,78,10,49700,"Hispanic, Other",2
Estate Jolly Hill,78,10,49930,"Hispanic, Other",0
Estate Judiths Fancy,78,10,49960,"Hispanic, Other",11
Estate Kingshill,78,10,50550,"Hispanic, Other",1
Estate Kramers Park,78,10,51500,"Hispanic, Other",0
Estate La Grande Princess,78,10,51700,"Hispanic, Other",45
Estate La Grange,78,10,53400,"Hispanic, Other",5
Estate La Press Valley,78,10,53825,"Hispanic, Other",0
Estate La Reine,78,10,54000,"Hispanic, Other",6
Estate La Vallee,78,10,54200,"Hispanic, Other",1
Estate Lebanon Hill,78,10,54300,"Hispanic, Other",0
Estate Little Fountain,78,10,54920,"Hispanic, Other",0
Estate Little La Grange,78,10,54930,"Hispanic, Other",0
Estate Little Princess North,78,10,54970,"Hispanic, Other",0
Estate Little Princess South,78,10,54975,"Hispanic, Other",14
Estate Little Profit,78,10,54980,"Hispanic, Other",0
Estate Longford,78,10,55100,"Hispanic, Other",0
Estate Long Point,78,10,55200,"Hispanic, Other",0
Estate Lower Love,78,10,55930,"Hispanic, Other",0
Estate Lowry Hill,78,10,55960,"Hispanic, Other",0
Estate Madam Carty,78,10,56200,"Hispanic, Other",0
Estate Mannings Bay,78,10,56860,"Hispanic, Other",0
Estate Marienhoj,78,10,56950,"Hispanic, Other",0
Estate Marys Fancy,78,10,57100,"Hispanic, Other",6
Estate Mon Bijou North,78,10,57425,"Hispanic, Other",0
Estate Mon Bijou South,78,10,57430,"Hispanic, Other",4
Estate Montpellier East,78,10,57530,"Hispanic, Other",1
Estate Montpellier West,78,10,57560,"Hispanic, Other",0
Estate Morning Star North,78,10,57650,"Hispanic, Other",0
Estate Morning Star South,78,10,57660,"Hispanic, Other",8
Estate Mountain,78,10,57670,"Hispanic, Other",0
Estate Mount Eagle,78,10,57680,"Hispanic, Other",0
Estate Mount Fancy,78,10,57690,"Hispanic, Other",0
Estate Mount Pleasant East 1,78,10,57790,"Hispanic, Other",2
Estate Mount Pleasant East 2,78,10,57800,"Hispanic, Other",1
Estate Mount Pleasant West,78,10,57820,"Hispanic, Other",11
Estate Mount Retreat,78,10,57840,"Hispanic, Other",0
Estate Mount Stewart,78,10,57860,"Hispanic, Other",0
Estate Mount Victory,78,10,57880,"Hispanic, Other",0
Estate Mount Washington and Washington Hill,78,10,57900,"Hispanic, Other",1
Estate Mount Welcome,78,10,57950,"Hispanic, Other",7
Estate Nicholas,78,10,59000,"Hispanic, Other",0
Estate North Grapetree Bay,78,10,59550,"Hispanic, Other",1
Estate North Hall,78,10,59600,"Hispanic, Other",0
Estate Northside,78,10,61325,"Hispanic, Other",0
Estate North Slob,78,10,61450,"Hispanic, Other",0
Estate North Star,78,10,61700,"Hispanic, Other",0
Estate Orange Grove East,78,10,62730,"Hispanic, Other",12
Estate Orange Grove West,78,10,62760,"Hispanic, Other",0
Estate Oxford,78,10,63050,"Hispanic, Other",0
Estate Paradise,78,10,63175,"Hispanic, Other",6
Estate Parasol,78,10,63300,"Hispanic, Other",0
Estate Pearl,78,10,63900,"Hispanic, Other",1
Estate Peters Farm,78,10,64070,"Hispanic, Other",0
Estate Peters Rest,78,10,64150,"Hispanic, Other",8
Estate Petronella,78,10,64300,"Hispanic, Other",0
Estate Pleasant Valley East,78,10,64530,"Hispanic, Other",0
Estate Pleasant Valley West,78,10,64560,"Hispanic, Other",0
Estate Plessen 1,78,10,64630,"Hispanic, Other",3
Estate Plessen 2,78,10,64660,"Hispanic, Other",5
Estate Profit,78,10,64820,"Hispanic, Other",70
Estate Prospect Hill,78,10,64870,"Hispanic, Other",0
Estate Prosperity East,78,10,64930,"Hispanic, Other",1
Estate Prosperity West,78,10,64960,"Hispanic, Other",3
Estate Punch,78,10,65020,"Hispanic, Other",0
Estate Rattan,78,10,65150,"Hispanic, Other",2
Estate Recovery Hill,78,10,65525,"Hispanic, Other",0
Estate Retreat,78,10,65750,"Hispanic, Other",10
Estate Richmond,78,10,65830,"Hispanic, Other",3
Estate River,78,10,65860,"Hispanic, Other",2
Estate Roberts Hill,78,10,66030,"Hispanic, Other",0
Estate Rose Hill,78,10,66060,"Hispanic, Other",0
Estate Ruby,78,10,66750,"Hispanic, Other",4
Estate Rust Up Twist,78,10,66780,"Hispanic, Other",1
Estate St. George,78,10,67000,"Hispanic, Other",9
Estate St. Georges Hill,78,10,67100,"Hispanic, Other",2
Estate St. John,78,10,67630,"Hispanic, Other",14
Estate St. Peters,78,10,68000,"Hispanic, Other",9
Estate Sallys Fancy,78,10,68530,"Hispanic, Other",5
Estate Salt River,78,10,68560,"Hispanic, Other",3
Estate Seven Hills,78,10,69200,"Hispanic, Other",0
Estate Shoys,78,10,69600,"Hispanic, Other",0
Estate Sight,78,10,70260,"Hispanic, Other",0
Estate Sion Farm,78,10,71300,"Hispanic, Other",22
Estate Sion Hill,78,10,71600,"Hispanic, Other",7
Estate Solitude East,78,10,73650,"Hispanic, Other",3
Estate Solitude West,78,10,73660,"Hispanic, Other",0
Estate Southgate,78,10,74000,"Hispanic, Other",5
Estate South Grapetree Bay,78,10,74400,"Hispanic, Other",1
Estate South Slob,78,10,75100,"Hispanic, Other",0
Estate Sprat Hall,78,10,75950,"Hispanic, Other",1
Estate Springfield,78,10,76100,"Hispanic, Other",0
Estate Spring Garden,78,10,76200,"Hispanic, Other",0
Estate Spring Gut,78,10,76300,"Hispanic, Other",0
Estate Stony Ground,78,10,76500,"Hispanic, Other",0
Estate Strawberry Hill,78,10,77100,"Hispanic, Other",9
Estate Sweet Bottom,78,10,77700,"Hispanic, Other",0
Estate Teague Bay,78,10,77760,"Hispanic, Other",1
Estate The Springs,78,10,78000,"Hispanic, Other",0
Estate Thomas,78,10,78100,"Hispanic, Other",0
Estate Tipperary,78,10,78200,"Hispanic, Other",5
Estate Turner Hole,78,10,78250,"Hispanic, Other",0
Estate Two Brothers,78,10,79500,"Hispanic, Other",44
Estate Two Friends,78,10,79700,"Hispanic, Other",0
Estate Union and Mount Washington,78,10,79900,"Hispanic, Other",6
Estate Upper Bethlehem,78,10,80230,"Hispanic, Other",1
Estate Upper Love,78,10,80400,"Hispanic, Other",18
Estate Waldberggaard,78,10,81900,"Hispanic, Other",0
Estate Wheel of Fortune,78,10,84100,"Hispanic, Other",12
Estate Whim,78,10,84800,"Hispanic, Other",61
Estate White Lady,78,10,84900,"Hispanic, Other",1
Estate Whites Bay 1,78,10,85100,"Hispanic, Other",3
Estate Whites Bay 2,78,10,85200,"Hispanic, Other",0
Estate William,78,10,85550,"Hispanic, Other",0
Estate Williams Delight,78,10,85630,"Hispanic, Other",50
Estate Wills Bay,78,10,85660,"Hispanic, Other",0
Estate Windsor,78,10,85820,"Hispanic, Other",0
Estate Wood Cottage,78,10,85870,"Hispanic, Other",0
Estate Work and Rest,78,10,85900,"Hispanic, Other",38
Estate Yellow Cliff,78,10,85950,"Hispanic, Other",0
Estate Adrian,78,20,60,"Hispanic, Other",0
Estate Annaberg,78,20,3520,"Hispanic, Other",0
Estate Bellevue,78,20,6275,"Hispanic, Other",0
Estate Bethany,78,20,6500,"Hispanic, Other",1
Estate Beverhoutberg and Esperance,78,20,7750,"Hispanic, Other",0
Estate Bordeaux,78,20,8300,"Hispanic, Other",0
Estate Browns Bay,78,20,8700,"Hispanic, Other",0
Estate Calabash Boom,78,20,10750,"Hispanic, Other",0
Estate Caneel Bay,78,20,11870,"Hispanic, Other",0
Estate Carolina,78,20,13650,"Hispanic, Other",1
Estate Chocolate Hole and Great Cruz Bay,78,20,19200,"Hispanic, Other",0
Estate Concordia A,78,20,24420,"Hispanic, Other",0
Estate Concordia B,78,20,24440,"Hispanic, Other",0
Estate Contant,78,20,25350,"Hispanic, Other",3
Estate Denis Bay,78,20,29400,"Hispanic, Other",0
Estate Emmaus,78,20,35100,"Hispanic, Other",0
Estate Enighed,78,20,35250,"Hispanic, Other",11
Estate Fish Bay,78,20,35750,"Hispanic, Other",7
Estate Fortberg,78,20,35775,"Hispanic, Other",0
Estate Glucksberg and Grunwald,78,20,43100,"Hispanic, Other",6
Estate Great Cinnamon Bay,78,20,45300,"Hispanic, Other",0
Estate Hammer Farm,78,20,46200,"Hispanic, Other",0
Estate Hansen Bay,78,20,46360,"Hispanic, Other",0
Estate Haulover,78,20,47230,"Hispanic, Other",0
Estate Hawksnest,78,20,47250,"Hispanic, Other",0
Estate Hermitage,78,20,47700,"Hispanic, Other",0
Estate Hope,78,20,48110,"Hispanic, Other",0
Estate Johns Folly,78,20,49875,"Hispanic, Other",1
Estate Lameshur,78,20,53805,"Hispanic, Other",0
Estate Leinster Bay,78,20,54550,"Hispanic, Other",0
Estate Little Plantation,78,20,54960,"Hispanic, Other",0
Estate Lovango Cay,78,20,55600,"Hispanic, Other",0
Estate Maho Bay,78,20,56680,"Hispanic, Other",0
Estate Mandal,78,20,56760,"Hispanic, Other",0
Estate Molendal and Little Reef Bay,78,20,57330,"Hispanic, Other",0
Estate Mount Pleasant and Retreat,78,20,57770,"Hispanic, Other",0
Estate New Renobath,78,20,58850,"Hispanic, Other",1
Estate Number 1 of Susannaberg,78,20,62540,"Hispanic, Other",0
Estate Number 1 of Trunk Bay,78,20,62560,"Hispanic, Other",0
Estate Parcel of Concordia,78,20,63400,"Hispanic, Other",0
Estate Parcel of Gift and Regenback,78,20,63500,"Hispanic, Other",0
Estate Pastory,78,20,63600,"Hispanic, Other",4
Estate Peter Bay,78,20,64030,"Hispanic, Other",1
Estate Reef Bay,78,20,65610,"Hispanic, Other",0
Estate Rendezvous and Ditlef,78,20,65650,"Hispanic, Other",1
Estate Rustenberg and Adventure,78,20,66765,"Hispanic, Other",0
Estate St. Quaco and Zimmerman,78,20,68200,"Hispanic, Other",0
Estate San Soucci,78,20,68650,"Hispanic, Other",0
Estate Sieben,78,20,70230,"Hispanic, Other",0
Estate Susannaberg,78,20,77650,"Hispanic, Other",2
Estate Zootenvaal,78,20,86100,"Hispanic, Other",0
Estate Adelphi,78,30,30,"Hispanic, Other",0
Estate Agnes Fancy,78,30,80,"Hispanic, Other",15
Estate Annas Fancy,78,30,3670,"Hispanic, Other",6
Estate Annas Retreat,78,30,5520,"Hispanic, Other",41
Estate Bakkero,78,30,5560,"Hispanic, Other",5
Estate Bolongo,78,30,7950,"Hispanic, Other",8
Estate Bonne Esperance,78,30,8060,"Hispanic, Other",0
Estate Bonne Resolution,78,30,8100,"Hispanic, Other",3
Estate Bordeaux,78,30,8400,"Hispanic, Other",1
Estate Bovoni,78,30,8500,"Hispanic, Other",12
Estate Canaan and Sherpenjewel,78,30,11650,"Hispanic, Other",0
Estate Caret Bay,78,30,12400,"Hispanic, Other",2
Estate Charlotte Amalie,78,30,17300,"Hispanic, Other",10
Estate Contant,78,30,26300,"Hispanic, Other",31
Estate Crown and Hawk,78,30,27850,"Hispanic, Other",0
Estate Demarara,78,30,29100,"Hispanic, Other",27
Estate Donoe,78,30,30550,"Hispanic, Other",1
Estate Dorothea,78,30,30650,"Hispanic, Other",5
Estate Eastern Water Island,78,30,34700,"Hispanic, Other",0
Estate Elizabeth,78,30,34800,"Hispanic, Other",8
Estate Fortuna,78,30,35890,"Hispanic, Other",10
Estate Fortuna Hill,78,30,35900,"Hispanic, Other",0
Estate Frenchman Bay,78,30,40300,"Hispanic, Other",12
Estate Frydendal,78,30,42450,"Hispanic, Other",2
Estate Frydenhoj,78,30,42500,"Hispanic, Other",7
Estate Great St. James Island,78,30,45550,"Hispanic, Other",0
Estate Hassel Island,78,30,47100,"Hispanic, Other",1
Estate Herleins Kob,78,30,47300,"Hispanic, Other",0
Estate Hoffman,78,30,47950,"Hispanic, Other",0
Estate Honduras,78,30,48060,"Hispanic, Other",24
Estate Hope,78,30,48120,"Hispanic, Other",3
Estate Hospital Ground,78,30,48160,"Hispanic, Other",2
Estate Hull,78,30,48180,"Hispanic, Other",5
Estate Inner Brass Island,78,30,48500,"Hispanic, Other",0
Estate John Brewers Bay,78,30,49750,"Hispanic, Other",0
Estate Kings Quarter,78,30,50575,"Hispanic, Other",30
Estate Langmath Mariendal,78,30,53810,"Hispanic, Other",8
Estate Lerkenlund,78,30,54650,"Hispanic, Other",13
Estate Lilliendal and Marienhoj,78,30,54825,"Hispanic, Other",8
Estate Lindbergh Bay,78,30,54875,"Hispanic, Other",24
Estate Little St. James Island,78,30,54990,"Hispanic, Other",0
Estate Little St. Thomas,78,30,54995,"Hispanic, Other",1
Estate Lovenlund,78,30,55800,"Hispanic, Other",23
Estate Lower John Dunko,78,30,55850,"Hispanic, Other",2
Estate Mafolie,78,30,56620,"Hispanic, Other",8
Estate Magens Bay,78,30,56630,"Hispanic, Other",0
Estate Mandal,78,30,56840,"Hispanic, Other",12
Estate Misgunst,78,30,57320,"Hispanic, Other",0
Estate Nadir,78,30,58150,"Hispanic, Other",1
Estate Nazareth,78,30,58400,"Hispanic, Other",8
Estate Neltjeberg,78,30,58750,"Hispanic, Other",3
Estate New Herrnhut,78,30,58825,"Hispanic, Other",1
Estate Nisky,78,30,59200,"Hispanic, Other",0
Estate Outer Brass Island,78,30,62800,"Hispanic, Other",0
Estate Pearl,78,30,63950,"Hispanic, Other",0
Estate Perseverance,78,30,64010,"Hispanic, Other",0
Estate Peterborg,78,30,64050,"Hispanic, Other",6
Estate Queens Quarter,78,30,65070,"Hispanic, Other",7
Estate Raphune,78,30,65125,"Hispanic, Other",0
Estate Ross,78,30,66200,"Hispanic, Other",0
Estate St. Joseph and Rosendal,78,30,67660,"Hispanic, Other",12
Estate St. Peter,78,30,67800,"Hispanic, Other",0
Estate Santa Maria,78,30,68800,"Hispanic, Other",0
Estate Smith Bay,78,30,72500,"Hispanic, Other",11
Estate Solberg,78,30,73550,"Hispanic, Other",11
Estate Sorgenfri,78,30,73800,"Hispanic, Other",1
Estate Staabi,78,30,76400,"Hispanic, Other",0
Estate Tabor and Harmony,78,30,77730,"Hispanic, Other",1
Estate Thomas,78,30,78150,"Hispanic, Other",36
Estate Upper John Dunko,78,30,80260,"Hispanic, Other",0
Estate Western Water Island,78,30,83500,"Hispanic, Other",4
Estate Wintberg,78,30,85850,"Hispanic, Other",7
Estate Zufriedenheit,78,30,86200,"Hispanic, Other",0
Charlotte Amalie town,78,30,-1,"Hispanic, Other",102
Charlotte Amalie East CDP,78,30,-1,"Hispanic, Other",34
Charlotte Amalie West CDP,78,30,-1,"Hispanic, Other",54
Christiansted town,78,10,-1,"Hispanic, Other",22
Coral Bay CDP,78,20,-1,"Hispanic, Other",2
Cruz Bay CDP,78,20,-1,"Hispanic, Other",33
Frederiksted town,78,10,-1,"Hispanic, Other",6
Frederiksted Southeast CDP,78,10,-1,"Hispanic, Other",57
Red Hook CDP,78,30,-1,"Hispanic, Other",0
Tutu CDP,78,30,-1,"Hispanic, Other",41
United States Virgin Islands,78,-1,-1,Not Hispanic,87901
St. Croix Island,78,10,-1,Not Hispanic,38321
Anna's Hope Village subdistrict,78,10,-1,Not Hispanic,3190
Christiansted subdistrict,78,10,-1,Not Hispanic,1729
East End subdistrict,78,10,-1,Not Hispanic,2083
Frederiksted subdistrict,78,10,-1,Not Hispanic,2351
Northcentral subdistrict,78,10,-1,Not Hispanic,3757
Northwest subdistrict,78,10,-1,Not Hispanic,3982
Sion Farm subdistrict,78,10,-1,Not Hispanic,9779
Southcentral subdistrict,78,10,-1,Not Hispanic,5738
Southwest subdistrict,78,10,-1,Not Hispanic,5712
St. John Island,78,20,-1,Not Hispanic,3733
Central subdistrict,78,20,-1,Not Hispanic,738
Coral Bay subdistrict,78,20,-1,Not Hispanic,602
Cruz Bay subdistrict,78,20,-1,Not Hispanic,2342
East End subdistrict,78,20,-1,Not Hispanic,51
St. Thomas Island,78,30,-1,Not Hispanic,45847
Charlotte Amalie subdistrict,78,30,-1,Not Hispanic,15295
East End subdistrict,78,30,-1,Not Hispanic,7781
Northside subdistrict,78,30,-1,Not Hispanic,9275
Southside subdistrict,78,30,-1,Not Hispanic,4860
Tutu subdistrict,78,30,-1,Not Hispanic,6384
Water Island subdistrict,78,30,-1,Not Hispanic,174
West End subdistrict,78,30,-1,Not Hispanic,2078
Estate Adventure,78,10,70,Not Hispanic,173
Estate Allandale,78,10,600,Not Hispanic,0
Estate All for the Better,78,10,800,Not Hispanic,140
Estate Altona,78,10,1400,Not Hispanic,103
Estate Anguilla,78,10,2500,Not Hispanic,0
Estate Annaberg and Shannon Grove,78,10,3550,Not Hispanic,0
Estate Annaly,78,10,3630,Not Hispanic,8
Estate Annas Hope,78,10,3800,Not Hispanic,436
Estate A Piece of Land,78,10,5540,Not Hispanic,0
Estate Barren Spot 1,78,10,5575,Not Hispanic,1
Estate Barren Spot 2,78,10,5585,Not Hispanic,1144
Estate Becks Grove,78,10,6175,Not Hispanic,5
Estate Beeston Hill,78,10,6225,Not Hispanic,168
Estate Bellevue,78,10,6260,Not Hispanic,8
Estate Belvedere,78,10,6310,Not Hispanic,54
Estate Bethlehem Middle Works,78,10,7100,Not Hispanic,47
Estate Bethlehem Old Works,78,10,7400,Not Hispanic,867
Estate Betsys Jewel,78,10,7500,Not Hispanic,16
Estate Bettys Hope,78,10,7650,Not Hispanic,0
Estate Blessing,78,10,7850,Not Hispanic,91
Estate Bodkin,78,10,7910,Not Hispanic,0
Estate Body Slob North,78,10,7920,Not Hispanic,0
Estate Body Slob South,78,10,7930,Not Hispanic,0
Estate Boetzberg,78,10,7940,Not Hispanic,343
Estate Bonne Esperance 1,78,10,8075,Not Hispanic,3
Estate Bonne Esperance 2,78,10,8080,Not Hispanic,34
Estate Brooks Hill,78,10,8600,Not Hispanic,20
Estate Bugby Hole,78,10,9300,Not Hispanic,47
Estate Cain Carlton,78,10,10600,Not Hispanic,19
Estate Caledonia,78,10,10800,Not Hispanic,0
Estate Canaan,78,10,11525,Not Hispanic,23
Estate Cane,78,10,11750,Not Hispanic,184
Estate Cane Bay,78,10,11840,Not Hispanic,30
Estate Cane Garden,78,10,11900,Not Hispanic,57
Estate Cane Valley,78,10,12050,Not Hispanic,6
Estate Carina,78,10,12500,Not Hispanic,0
Estate Carlton 1 North,78,10,12750,Not Hispanic,104
Estate Carlton 1 South,78,10,12800,Not Hispanic,39
Estate Carlton 2,78,10,12900,Not Hispanic,204
Estate Cassava Garden,78,10,13700,Not Hispanic,0
Estate Castle Coakley,78,10,14600,Not Hispanic,284
Estate Castle Nugent,78,10,14700,Not Hispanic,0
Estate Catherines Hope,78,10,14840,Not Hispanic,54
Estate Catherines Rest,78,10,14870,Not Hispanic,458
Estate Clairmont,78,10,22325,Not Hispanic,56
Estate Clifton Hill,78,10,22400,Not Hispanic,578
Estate Coakley Bay,78,10,23200,Not Hispanic,76
Estate Colquohoun,78,10,23500,Not Hispanic,379
Estate Concordia East,78,10,24460,Not Hispanic,127
Estate Concordia West,78,10,24500,Not Hispanic,404
Estate Constitution Hill,78,10,24600,Not Hispanic,151
Estate Contentment,78,10,26450,Not Hispanic,18
Estate Corn Hill,78,10,27250,Not Hispanic,8
Estate Cottage,78,10,27300,Not Hispanic,103
Estate Cotton Garden,78,10,27400,Not Hispanic,0
Estate Cotton Grove,78,10,27525,Not Hispanic,0
Estate Cotton Valley,78,10,27600,Not Hispanic,278
Estate Diamond East,78,10,29850,Not Hispanic,376
Estate Diamond Keturah,78,10,30100,Not Hispanic,4
Estate Diamond West,78,10,30300,Not Hispanic,153
Estate East Street,78,10,34750,Not Hispanic,971
Estate Elizas Retreat,78,10,34850,Not Hispanic,9
Estate Enfield Green,78,10,35150,Not Hispanic,340
Estate Envy,78,10,35450,Not Hispanic,0
Estate Fangselet,78,10,35550,Not Hispanic,134
Estate Fareham,78,10,35650,Not Hispanic,0
Estate Fountain,78,10,36050,Not Hispanic,97
Estate Frederikshaab,78,10,37700,Not Hispanic,85
Estate Friedensthal,78,10,41600,Not Hispanic,85
Estate Glynn,78,10,43500,Not Hispanic,544
Estate Golden Grove,78,10,44250,Not Hispanic,330
Estate Golden Rock,78,10,44300,Not Hispanic,1175
Estate Granard,78,10,45050,Not Hispanic,10
Estate Grange,78,10,45150,Not Hispanic,31
Estate Grange Stock,78,10,45200,Not Hispanic,23
Estate Great Pond,78,10,45525,Not Hispanic,8
Estate Green Cay,78,10,45575,Not Hispanic,122
Estate Grove Place,78,10,46100,Not Hispanic,688
Estate Gumbs Land,78,10,46150,Not Hispanic,1
Estate Hams Bay,78,10,46320,Not Hispanic,5
Estate Hams Bluff,78,10,46330,Not Hispanic,0
Estate Hannahs Rest,78,10,46350,Not Hispanic,720
Estate Hard Labor,78,10,46380,Not Hispanic,0
Estate Hartman,78,10,47000,Not Hispanic,0
Estate Hermitage,78,10,47600,Not Hispanic,18
Estate Hermon Hill,78,10,47750,Not Hispanic,598
Estate Hogensborg,78,10,48030,Not Hispanic,17
Estate Hope and Carton Hill,78,10,48130,Not Hispanic,57
Estate Hope East,78,10,48140,Not Hispanic,85
Estate Hope West,78,10,48150,Not Hispanic,18
Estate Jacks Bay,78,10,48600,Not Hispanic,0
Estate Jerusalem and Figtree Hill,78,10,49700,Not Hispanic,45
Estate Jolly Hill,78,10,49930,Not Hispanic,8
Estate Judiths Fancy,78,10,49960,Not Hispanic,400
Estate Kingshill,78,10,50550,Not Hispanic,59
Estate Kramers Park,78,10,51500,Not Hispanic,0
Estate La Grande Princess,78,10,51700,Not Hispanic,1457
Estate La Grange,78,10,53400,Not Hispanic,510
Estate La Press Valley,78,10,53825,Not Hispanic,0
Estate La Reine,78,10,54000,Not Hispanic,366
Estate La Vallee,78,10,54200,Not Hispanic,198
Estate Lebanon Hill,78,10,54300,Not Hispanic,22
Estate Little Fountain,78,10,54920,Not Hispanic,28
Estate Little La Grange,78,10,54930,Not Hispanic,60
Estate Little Princess North,78,10,54970,Not Hispanic,12
Estate Little Princess South,78,10,54975,Not Hispanic,214
Estate Little Profit,78,10,54980,Not Hispanic,0
Estate Longford,78,10,55100,Not Hispanic,16
Estate Long Point,78,10,55200,Not Hispanic,0
Estate Lower Love,78,10,55930,Not Hispanic,3
Estate Lowry Hill,78,10,55960,Not Hispanic,43
Estate Madam Carty,78,10,56200,Not Hispanic,0
Estate Mannings Bay,78,10,56860,Not Hispanic,0
Estate Marienhoj,78,10,56950,Not Hispanic,11
Estate Marys Fancy,78,10,57100,Not Hispanic,358
Estate Mon Bijou North,78,10,57425,Not Hispanic,0
Estate Mon Bijou South,78,10,57430,Not Hispanic,730
Estate Montpellier East,78,10,57530,Not Hispanic,150
Estate Montpellier West,78,10,57560,Not Hispanic,45
Estate Morning Star North,78,10,57650,Not Hispanic,18
Estate Morning Star South,78,10,57660,Not Hispanic,168
Estate Mountain,78,10,57670,Not Hispanic,32
Estate Mount Eagle,78,10,57680,Not Hispanic,0
Estate Mount Fancy,78,10,57690,Not Hispanic,0
Estate Mount Pleasant East 1,78,10,57790,Not Hispanic,53
Estate Mount Pleasant East 2,78,10,57800,Not Hispanic,8
Estate Mount Pleasant West,78,10,57820,Not Hispanic,1127
Estate Mount Retreat,78,10,57840,Not Hispanic,0
Estate Mount Stewart,78,10,57860,Not Hispanic,0
Estate Mount Victory,78,10,57880,Not Hispanic,12
Estate Mount Washington and Washington Hill,78,10,57900,Not Hispanic,10
Estate Mount Welcome,78,10,57950,Not Hispanic,175
Estate Nicholas,78,10,59000,Not Hispanic,6
Estate North Grapetree Bay,78,10,59550,Not Hispanic,17
Estate North Hall,78,10,59600,Not Hispanic,8
Estate Northside,78,10,61325,Not Hispanic,27
Estate North Slob,78,10,61450,Not Hispanic,15
Estate North Star,78,10,61700,Not Hispanic,0
Estate Orange Grove East,78,10,62730,Not Hispanic,248
Estate Orange Grove West,78,10,62760,Not Hispanic,16
Estate Oxford,78,10,63050,Not Hispanic,4
Estate Paradise,78,10,63175,Not Hispanic,214
Estate Parasol,78,10,63300,Not Hispanic,0
Estate Pearl,78,10,63900,Not Hispanic,29
Estate Peters Farm,78,10,64070,Not Hispanic,31
Estate Peters Rest,78,10,64150,Not Hispanic,562
Estate Petronella,78,10,64300,Not Hispanic,0
Estate Pleasant Valley East,78,10,64530,Not Hispanic,10
Estate Pleasant Valley West,78,10,64560,Not Hispanic,0
Estate Plessen 1,78,10,64630,Not Hispanic,7
Estate Plessen 2,78,10,64660,Not Hispanic,212
Estate Profit,78,10,64820,Not Hispanic,381
Estate Prospect Hill,78,10,64870,Not Hispanic,0
Estate Prosperity East,78,10,64930,Not Hispanic,8
Estate Prosperity West,78,10,64960,Not Hispanic,83
Estate Punch,78,10,65020,Not Hispanic,0
Estate Rattan,78,10,65150,Not Hispanic,352
Estate Recovery Hill,78,10,65525,Not Hispanic,0
Estate Retreat,78,10,65750,Not Hispanic,305
Estate Richmond,78,10,65830,Not Hispanic,506
Estate River,78,10,65860,Not Hispanic,39
Estate Roberts Hill,78,10,66030,Not Hispanic,0
Estate Rose Hill,78,10,66060,Not Hispanic,0
Estate Ruby,78,10,66750,Not Hispanic,388
Estate Rust Up Twist,78,10,66780,Not Hispanic,47
