Geographic Area,StateCode,CountyCode,Estate Code,Category,Population
Estate Seven Hills,78,10,69200,Total,48
Estate Shoys,78,10,69600,Total,79
Estate Sight,78,10,70260,Total,26
Estate Sion Farm,78,10,71300,Total,1374
Estate Sion Hill,78,10,71600,Total,569
Estate Solitude East,78,10,73650,Total,93
Estate Solitude West,78,10,73660,Total,0
Estate Southgate,78,10,74000,Total,108
Estate South Grapetree Bay,78,10,74400,Total,22
Estate South Slob,78,10,75100,Total,29
Estate Sprat Hall,78,10,75950,Total,63
Estate Springfield,78,10,76100,Total,0
Estate Spring Garden,78,10,76200,Total,10
Estate Spring Gut,78,10,76300,Total,17
Estate Stony Ground,78,10,76500,Total,271
Estate Strawberry Hill,78,10,77100,Total,1528
Estate Sweet Bottom,78,10,77700,Total,0
Estate Teague Bay,78,10,77760,Total,113
Estate The Springs,78,10,78000,Total,0
Estate Thomas,78,10,78100,Total,20
Estate Tipperary,78,10,78200,Total,194
Estate Turner Hole,78,10,78250,Total,17
Estate Two Brothers,78,10,79500,Total,1990
Estate Two Friends,78,10,79700,Total,3
Estate Union and Mount Washington,78,10,79900,Total,407
Estate Upper Bethlehem,78,10,80230,Total,166
Estate Upper Love,78,10,80400,Total,1315
Estate Waldberggaard,78,10,81900,Total,9
Estate Wheel of Fortune,78,10,84100,Total,461
Estate Whim,78,10,84800,Total,3315
Estate White Lady,78,10,84900,Total,118
Estate Whites Bay 1,78,10,85100,Total,235
Estate Whites Bay 2,78,10,85200,Total,0
Estate William,78,10,85550,Total,5
Estate Williams Delight,78,10,85630,Total,2202
Estate Wills Bay,78,10,85660,Total,0
Estate Windsor,78,10,85820,Total,29
Estate Wood Cottage,78,10,85870,Total,0
Estate Work and Rest,78,10,85900,Total,1327
Estate Yellow Cliff,78,10,85950,Total,3
Estate Adrian,78,20,60,Total,234
Estate Annaberg,78,20,3520,Total,47
Estate Bellevue,78,20,6275,Total,184
Estate Bethany,78,20,6500,Total,166
Estate Beverhoutberg and Esperance,78,20,7750,Total,28
Estate Bordeaux,78,20,8300,Total,2
Estate Browns Bay,78,20,8700,Total,0
Estate Calabash Boom,78,20,10750,Total,137
Estate Caneel Bay,78,20,11870,Total,91
Estate Carolina,78,20,13650,Total,394
Estate Chocolate Hole and Great Cruz Bay,78,20,19200,Total,172
Estate Concordia A,78,20,24420,Total,22
Estate Concordia B,78,20,24440,Total,0
Estate Contant,78,20,25350,Total,283
Estate Denis Bay,78,20,29400,Total,5
Estate Emmaus,78,20,35100,Total,79
Estate Enighed,78,20,35250,Total,841
Estate Fish Bay,78,20,35750,Total,147
Estate Fortberg,78,20,35775,Total,11
Estate Glucksberg and Grunwald,78,20,43100,Total,359
Estate Great Cinnamon Bay,78,20,45300,Total,3
Estate Hammer Farm,78,20,46200,Total,13
Estate Hansen Bay,78,20,46360,Total,51
